Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C14, C2, C3, C4, C5, C9",0402,8,100nF,
C11,0402,1,2.2nF,
C12,1206,1,10uF/50V,
C13,0402,1,150pF,
C15,1206,1,22uF/16V,
"C16, C17",0805,2,10uF,
"C6, C7",0402,2,20pF,
C8,0402,1,10nF,
"D1, D2",D_SMA,2,SS34,
"D3, D5",0603,2,LEDR,
D4,0603,1,LEDB,
D6,D_SOD-123,1,S7,
J1,pad_01x03,1,SBUS,
J2,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,
J3,pad_01x03,1,PPM,
J4,pad_01x06,1,OUT,
"J5, J6",pad_01x02,2,Conn_01x02,
J7,pad_01x04,1,Conn_01x04,
L1,L_Neosid_SM-PIC0602H,1,15uH/3A,
NT1,NetTie-2_SMD_Pad2.0mm,1,NetTie_2,
Q1,SOT-23,1,1P,
"R1, R2",0402,2,10k,
R10,0402,1,24k,
"R11, R12, R18, R9",0402,4,100k,
R13,0402,1,200k,
R14,0402,1,39k,
R15,0402,1,150R,
R16,0402,1,330R,
R17,0402,1,260R,
R19,0402,1,12k,
"R3, R4, R5, R6",0402,4,4k7,
"R7, R8",0402,2,22R,
SW1,SW_SPST_B3U-1000P,1,SW_Push,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,
U2,InvenSense_QFN-24_4x4mm_P0.5mm,1,MPU-6050,
U3,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_ThermalVias,1,MP1584,
U4,SOT-89-3,1,AZ1117-3.3,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,8MHz,
