Designator,Mid X,Mid Y,Rotation,Layer
C1,11.3,20.3,90.0,top
C10,12.8,34.92,270.0,top
C11,16.75,30.77,270.0,top
C12,0.0,8.0,180.0,top
C13,14.68,13.2,180.0,top
C14,17.0,5.5,180.0,top
C15,23.175,14.7,180.0,top
C16,28.45,15.1,0.0,top
C17,35.0,12.2,90.0,top
C2,15.02,28.0,0.0,top
C3,22.5,17.0,180.0,top
C4,24.0,25.0,270.0,top
C5,11.7,25.58,90.0,top
C6,6.1,22.8,180.0,top
C7,6.02,17.4,0.0,top
C8,18.4,38.5,270.0,top
C9,17.1,38.5,90.0,top
D1,12.05,5.2,0.0,top
D2,18.3,11.7,90.0,top
D3,8.5,38.1,270.0,top
D4,10.2,38.1125,270.0,top
D5,11.9,38.1125,270.0,top
D6,26.9,19.1,0.0,top
J1,38.5,30.683,180.0,top
J2,34.625,20.0,90.0,top
J3,38.7,9.317,0.0,top
J4,17.758,1.5,270.0,top
J5,1.3,29.2,0.0,top
J6,6.243,1.5,270.0,top
J7,23.571,38.4,270.0,top
L1,24.4,8.3,90.0,top
Q1,26.7375,29.2,0.0,top
R1,1.8,23.7,270.0,top
R10,14.58,9.3,180.0,top
R11,3.0,13.0,0.0,top
R12,14.68,14.9,0.0,top
R13,10.0,16.9,0.0,top
R14,11.0,14.0,0.0,top
R15,8.2,33.5,270.0,top
R16,10.1,32.9,270.0,top
R17,12.2,32.3,270.0,top
R18,6.09,14.5,180.0,top
R19,6.1,15.6,0.0,top
R2,-0.9,12.29,90.0,top
R20,24.21,35.39,90.0,top
R21,27.8,35.0,90.0,top
R3,20.45,30.75,90.0,top
R4,19.35,30.76,90.0,top
R5,33.19,27.0,0.0,top
R6,33.18,31.6,180.0,top
R7,29.3,22.4,180.0,top
R8,29.3,23.6,180.0,top
R9,14.68,11.0,0.0,top
SW1,1.8,20.0,0.0,top
U1,17.9,22.0,270.0,top
U2,17.5,34.6,180.0,top
U3,8.55,10.3,90.0,top
U4,30.9,9.3,90.0,top
Y1,6.12,20.1,270.0,top
